"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1766860651069358449","Sun Mar 10 16:16:20 +0000 2024","0","IU nyanyi lagu someday ","1766860651069358449","","","in","Tangerang, Indonesia","0","0","0","https://twitter.com/baekjunrj/status/1766860651069358449","1371132820937080832","baekjunrj"
"1766845770161160223","Sun Mar 10 15:17:12 +0000 2024","0","mau off dr berita konser mba iu winter sleep udh masuk setlist semoga gd knees ️","1766845770161160223","","","in","Jawa Tengah, Indonesia","0","0","0","https://twitter.com/coldzonkbie/status/1766845770161160223","1016215137085091840","coldzonkbie"
"1766844839403127262","Sun Mar 10 15:13:30 +0000 2024","1","mbak iu kata ku sih pas disini jangan bawain someday atau dua hall akan banjir sama airmata q","1766844839403127262","","","in","Indonesia","1","0","0","https://twitter.com/cofijellyy/status/1766844839403127262","1012378735","cofijellyy"
"1766843366237692315","Sun Mar 10 15:07:39 +0000 2024","0","permintaan egois tp kl gue gbs nonton iu di jkt please knees sm winter sleep gamasuk set list ","1766843366237692315","","","in","Jawa Tengah, Indonesia","0","0","0","https://twitter.com/coldzonkbie/status/1766843366237692315","1016215137085091840","coldzonkbie"
"1766840373064970725","Sun Mar 10 14:55:45 +0000 2024","0","Bawain Someday yaAllah playlist IU by Sunny kenapa jd setlist konser ","1766840373064970725","","","in","Indonesia","0","2","0","https://twitter.com/ghssnhp/status/1766840373064970725","67882182","ghssnhp"
"1766824805351956799","Sun Mar 10 13:53:54 +0000 2024","1","nangis boleh ga iu nyanyi someday thun 2024 https://t.co/rzxq0V9INi","1766824805351956799","https://pbs.twimg.com/ext_tw_video_thumb/1766794471168233472/pu/img/g_WssmrAvZLMOxuV.jpg","","in","","0","0","2","https://twitter.com/rekonict/status/1766824805351956799","1124228934332063744","rekonict"
"1766802706298208375","Sun Mar 10 12:26:05 +0000 2024","4","IU nyanyi Someday ost dream high yg Soohyun jg main didrama trus nyanyi Ending Scene yg Soohyun jg di MVnya... yaoloh bestiee","1766802706298208375","","","in","+62","0","0","0","https://twitter.com/voussavezmonnom/status/1766802706298208375","1265952005513547776","voussavezmonnom"
"1766794011443118177","Sun Mar 10 11:51:32 +0000 2024","107","IU singing Someday!!!!!!!!!! Maenas fave https://t.co/2KXLV4M6GN","1766794011443118177","https://pbs.twimg.com/ext_tw_video_thumb/1766793507191341056/pu/img/dz1GPxXc_48IhQ0h.jpg","","in","","1","0","22","https://twitter.com/3viesls/status/1766794011443118177","911118035527852032","3viesls"
"1766784962957914361","Sun Mar 10 11:15:35 +0000 2024","0","kalau suasana hati aku lagi gaenak pengen nangis tapi gabisa aku punya list lagu yg fix bgt kalau denger nangis deh jadi lega 1. Knees IU cover by Wonwoo (still my best comfort song) 2. Hurt Road Day6 cover by Hoshi (ini gw bisa nangis kejer kalau udah dengernya)","1766784962957914361","","","in","Medan, Indonesia","1","1","0","https://twitter.com/fauziahblqs/status/1766784962957914361","588304933","fauziahblqs"
"1766772360236105889","Sun Mar 10 11:11:12 +0000 2024","0","@chocdoue Iya ly encore world tour tgl nya pas debut anniv IU","1766783860157890878","","chocdoue","in","dnf if you hate my faves ","0","1","0","https://twitter.com/blueming_day/status/1766783860157890878","1132271747519008768","blueming_day"
"1766772360236105889","Sun Mar 10 10:26:59 +0000 2024","0","@blueming_day wow . svt encore jg disini tglnya sama kaya konser IU di Jkt. ini lumayan kapasitasnya","1766772732191228117","","blueming_day","in","👧","0","1","0","https://twitter.com/sugarbehappy/status/1766772732191228117","1012215697122840577","sugarbehappy"
"1766738199618150403","Sun Mar 10 08:09:45 +0000 2024","0","IU kalau bawain knees di setlist konsernya langsung cari tiket gue","1766738199618150403","","","in","","0","0","0","https://twitter.com/ooh_samanthaa/status/1766738199618150403","1393106825025769472","ooh_samanthaa"
"1766730101021118482","Sun Mar 10 07:49:42 +0000 2024","0","@isnotlilly Sepertinya susaaah iu ny sibuk ganti baju wkwk ","1766733154185101460","","isnotlilly","in","dnf if you hate my faves ","0","1","0","https://twitter.com/blueming_day/status/1766733154185101460","1132271747519008768","blueming_day"
"1766504062285918297","Sat Mar 09 16:39:23 +0000 2024","22","literally tadi hampir 2 jam lalu bilang gini.... ternyata dia udh ketemu duluan dan foto bareng mana typo pula semoga someday minji bisa ketemu iu https://t.co/FsBA6kRa8g","1766504062285918297","https://pbs.twimg.com/media/GIPiFQcbwAAuvQy.jpg","","in","","0","0","3","https://twitter.com/luckqqqqy/status/1766504062285918297","388287711","luckqqqqy"
"1766496292094788021","Sat Mar 09 16:08:30 +0000 2024","11","IU pengkoleksi cewek2 cantik ️‍️‍ Hanna jooyoung eunbin tangwei minsi dan masih banyaak https://t.co/brJoQHMAR7","1766496292094788021","https://pbs.twimg.com/media/GIPbAP_aAAAqMNT.jpg","","in","dnf if you hate my faves ","0","0","0","https://twitter.com/blueming_day/status/1766496292094788021","1132271747519008768","blueming_day"
"1766478299423990007","Sat Mar 09 14:57:00 +0000 2024","0","Wehh Knees pun best juga. Banyak gila lagu IU best2 ","1766478299423990007","","","in","Sijangkang,Selangor","0","0","0","https://twitter.com/adibsyazwan_/status/1766478299423990007","158960554","adibsyazwan_"
"1766448135528980826","Sat Mar 09 13:22:02 +0000 2024","0","@Bitteriejeon iyaaa td lewat home ytkuuu. react to svt blueming yg pas di iu pallete ituu ","1766454400003014732","","Bitteriejeon","in","","0","1","0","https://twitter.com/seomican/status/1766454400003014732","1430503605841272834","seomican"
"1766421815658958866","Sat Mar 09 11:12:34 +0000 2024","0","Akhirnya dateng juga nih abang bestie IU","1766421815658958866","","","in","dnf if you hate my faves ","0","0","0","https://twitter.com/blueming_day/status/1766421815658958866","1132271747519008768","blueming_day"
"1766419834991153647","Sat Mar 09 11:04:41 +0000 2024","55","-star Chaewon cover lagu knees di konser iu hari ini ciye chaewon akhirnya bisa perfom di konser biasnya https://t.co/SKmXAleVYH","1766419834991153647","https://pbs.twimg.com/ext_tw_video_thumb/1766412670935367680/pu/img/8-tc6yPqP58nB4GO.jpg","","in","RULES DI LINK","0","0","9","https://twitter.com/starfess/status/1766419834991153647","1210342758029807616","starfess"
"1766286807921307972","Sat Mar 09 03:31:38 +0000 2024","0","@chocdoue Lesse kan lg bnyk dihujat tu vokalnya nah di konser iu selalu live mngkin ntar bakal bnyk yg puji vokalnya kaya nj kemaren","1766305819698901053","","chocdoue","in","dnf if you hate my faves ","0","1","0","https://twitter.com/blueming_day/status/1766305819698901053","1132271747519008768","blueming_day"
"1766286807921307972","Sat Mar 09 02:16:05 +0000 2024","0","Bjiirr iu penolong mereka berarti kah? Lg huru hara soalnya akhir2 ini","1766286807921307972","","","in","dnf if you hate my faves ","0","2","0","https://twitter.com/blueming_day/status/1766286807921307972","1132271747519008768","blueming_day"
"1765975661230051355","Fri Mar 08 06:42:42 +0000 2024","2","@paletteuna congratssss selamat menonton blueming secara langsungg!!!!! jangan salah nonton jd IU ting ting ya","1765991515791470745","","paletteuna","in","Pink Ocean","0","1","0","https://twitter.com/autosoriik/status/1765991515791470745","1143187571696029696","autosoriik"
"1765974300748833144","Fri Mar 08 05:38:15 +0000 2024","0","@blueming_day NANGISSSSS SEMOGAA KAK NINN JG SEGERAA KETEMUU IU YAA ","1765975297743355994","","blueming_day","in","ID","0","1","0","https://twitter.com/kucingkepoan/status/1765975297743355994","1406599399434719235","kucingkepoan"
"1765975008374100247","Fri Mar 08 05:37:06 +0000 2024","2","Selamattt semua yg udh dpt tiket IU! Ikut seneng Smg ini bukan konser terakhir IU di jkt biar aku bisa nabung dan nonton di next world tour bismillah","1765975008374100247","","","in","dnf if you hate my faves ","0","1","1","https://twitter.com/blueming_day/status/1765975008374100247","1132271747519008768","blueming_day"
"1765928483090571586","Fri Mar 08 02:32:14 +0000 2024","0","Gak nyangka fans IU di us banyak jg ya tiket konsernya sold out ","1765928483090571586","","","in","dnf if you hate my faves ","0","0","0","https://twitter.com/blueming_day/status/1765928483090571586","1132271747519008768","blueming_day"
"1765377290073202706","Wed Mar 06 14:01:59 +0000 2024","0","mau nonton IU apalagi mau denger dia nyanyi Blueming","1765377290073202706","","","in","","0","0","0","https://twitter.com/faishgp26/status/1765377290073202706","1593607329379123202","faishgp26"
"1765286416068870144","Wed Mar 06 08:00:53 +0000 2024","0","agh pengen dtg konser iu juga tapi duit darimana pgn denger lagu blueming live","1765286416068870144","","","in","Megumi Salon","0","0","0","https://twitter.com/cihkenkatsu/status/1765286416068870144","1241702989884043264","cihkenkatsu"
"1765208287618998717","Wed Mar 06 02:50:26 +0000 2024","0","IU tuh pernah ngisi ost di drama dia sendiri ngga sih? Aku taunya cuma Someday pas Dream High. Selain itu pernah ngga?","1765208287618998717","","","in","https://companysoosoo.com/","0","0","0","https://twitter.com/dkyungie12/status/1765208287618998717","1268578940622237696","dkyungie12"
"1765027852720681097","Tue Mar 05 16:15:03 +0000 2024","0","@stillwthbtsot7 Aku dengernya di yt sih my. Soalnya kalo di spotify gak lengkap. Yang someday iu sunye maybe dll itu gak ada.","1765048387647541650","","stillwthbtsot7","in","𝕸𝖎𝖈 𝕯𝖗𝖔𝖕","0","1","0","https://twitter.com/dnalalalalalaa/status/1765048387647541650","1336260640520818688","dnalalalalalaa"
"1765032952344555599","Tue Mar 05 15:13:43 +0000 2024","0","dengerin lagu mba iu - blueming udah kek lagi jatuh cinta","1765032952344555599","","","in","𝒜𝑴","0","0","0","https://twitter.com/jcimelodys/status/1765032952344555599","1731597525197729792","jcimelodys"
"1764999156136128538","Tue Mar 05 14:23:49 +0000 2024","0","@_saranghaeu mau karokean blueming bareng mba iu","1765020394480873475","","_saranghaeu","in","","0","0","0","https://twitter.com/matchaca127/status/1765020394480873475","1601082429535531010","matchaca127"
"1765019349562327337","Tue Mar 05 14:19:40 +0000 2024","0","Udah lama ga dengerin knees terus aku langsung nangis wkwkk ya allah teteh IU aku izin ikut konser dari bojong aja ya https://t.co/Ln9KJvcc2t","1765019349562327337","","","in","日本語、韓国語、英語、インドネシア語","0","0","0","https://twitter.com/ucayaaa/status/1765019349562327337","359254279","ucayaaa"
"1764988558602015057","Tue Mar 05 12:17:18 +0000 2024","0","Oh ada event gucci hari ini... IU lagi istirahat kali ya","1764988558602015057","","","in","dnf if you hate my faves ","0","0","0","https://twitter.com/blueming_day/status/1764988558602015057","1132271747519008768","blueming_day"
"1764940067657928838","Tue Mar 05 09:04:37 +0000 2024","0","lagu iu yang jadi favoritemu apaa? kalo mimin blueming ga pernah bosen dengerin ini laguuu","1764940067657928838","","","in","Indonesia","0","0","0","https://twitter.com/changtipstuff/status/1764940067657928838","1674005751361306626","changtipstuff"
"1764223353639125487","Sun Mar 03 09:36:39 +0000 2024","0","CILLL SEMOGA SOMEDAY BISA COLLAB SAMA IU NUNA YA AMIN","1764223353639125487","","","in","rps | 🩶💚🧡💗","0","0","0","https://twitter.com/wooseungdannn/status/1764223353639125487","1153549362422640640","wooseungdannn"
